"DateTime","Last Month","This Month"
"2020-02-21 19:00:00",1.16,0.87
"2020-02-21 20:00:00",1.24,0.85
"2020-02-21 21:00:00",0.98,1.27
"2020-02-21 22:00:00",2.01,0.96
"2020-02-21 23:00:00",0.73,0.91
"2020-02-22 00:00:00",0.59,0.97
"2020-02-22 01:00:00",0.56,0.76
"2020-02-22 02:00:00",0.67,0.51
"2020-02-22 03:00:00",0.56,0.54
"2020-02-22 04:00:00",0.58,0.59
"2020-02-22 05:00:00",1.35,0.65
"2020-02-22 06:00:00",0.67,0.67
"2020-02-22 07:00:00",0.69,0.81
"2020-02-22 08:00:00",1.34,1.69
"2020-02-22 09:00:00",0.64,1.5
"2020-02-22 10:00:00",0.59,1.18
"2020-02-22 11:00:00",1.26,1.06
"2020-02-22 12:00:00",1.07,1.05
"2020-02-22 13:00:00",0.62,1.19
"2020-02-22 14:00:00",0.62,1.08
"2020-02-22 15:00:00",0.95,1.07
"2020-02-22 16:00:00",1.57,0.86
"2020-02-22 17:00:00",0.98,0.65
"2020-02-22 18:00:00",1.54,2.34
"2020-02-22 19:00:00",1.48,1.09
"2020-02-22 20:00:00",0.9,0.87
"2020-02-22 21:00:00",0.67,0.97
"2020-02-22 22:00:00",0.68,1.18
"2020-02-22 23:00:00",0.67,0.68
"2020-02-23 00:00:00",0.59,0.73
"2020-02-23 01:00:00",0.67,0.65
"2020-02-23 02:00:00",0.69,0.75
"2020-02-23 03:00:00",0.69,0.68
"2020-02-23 04:00:00",0.65,0.71
"2020-02-23 05:00:00",1.34,0.65
"2020-02-23 06:00:00",0.72,0.62
"2020-02-23 07:00:00",0.63,0.61
"2020-02-23 08:00:00",0.54,0.75
"2020-02-23 09:00:00",0.56,0.76
"2020-02-23 10:00:00",0.65,1.05
"2020-02-23 11:00:00",0.57,0.61
"2020-02-23 12:00:00",0.71,0.45
"2020-02-23 13:00:00",0.76,0.45
"2020-02-23 14:00:00",0.69,0.51
"2020-02-23 15:00:00",0.67,0.6
"2020-02-23 16:00:00",0.66,1.38
"2020-02-23 17:00:00",0.59,1.86
"2020-02-23 18:00:00",0.67,3.21
"2020-02-23 19:00:00",1.48,1.15
"2020-02-23 20:00:00",3.64,0.94
"2020-02-23 21:00:00",1.54,0.74
"2020-02-23 22:00:00",0.83,0.62
"2020-02-23 23:00:00",0.75,0.69
"2020-02-24 00:00:00",0.67,0.69
"2020-02-24 01:00:00",0.57,0.63
"2020-02-24 02:00:00",0.55,0.52
"2020-02-24 03:00:00",0.87,0.53
"2020-02-24 04:00:00",1.02,0.6
"2020-02-24 05:00:00",1.65,1.23
"2020-02-24 06:00:00",0.93,0.63
"2020-02-24 07:00:00",0.63,0.52
"2020-02-24 08:00:00",0.65,0.5
"2020-02-24 09:00:00",0.71,0.67
"2020-02-24 10:00:00",0.57,0.62
"2020-02-24 11:00:00",0.52,0.62
"2020-02-24 12:00:00",0.61,0.62
"2020-02-24 13:00:00",0.55,0.54
"2020-02-24 14:00:00",0.48,0.66
"2020-02-24 15:00:00",0.59,0.59
"2020-02-24 16:00:00",0.66,0.7
"2020-02-24 17:00:00",0.5,0.77
"2020-02-24 18:00:00",0.67,0.72
"2020-02-24 19:00:00",1.96,3.5
"2020-02-24 20:00:00",1.51,0.98
"2020-02-24 21:00:00",1.07,0.77
"2020-02-24 22:00:00",1.03,1.6
"2020-02-24 23:00:00",1.14,0.7
"2020-02-25 00:00:00",0.74,0.6
"2020-02-25 01:00:00",0.65,0.65
"2020-02-25 02:00:00",0.59,0.7
"2020-02-25 03:00:00",0.53,0.62
"2020-02-25 04:00:00",0.7,0.58
"2020-02-25 05:00:00",0.79,0.63
"2020-02-25 06:00:00",0.65,0.88
"2020-02-25 07:00:00",1.38,0.62
"2020-02-25 08:00:00",1.47,0.6
"2020-02-25 09:00:00",1.55,0.61
"2020-02-25 10:00:00",0.78,0.71
"2020-02-25 11:00:00",0.47,0.67
"2020-02-25 12:00:00",0.79,0.66
"2020-02-25 13:00:00",1.23,0.68
"2020-02-25 14:00:00",1.12,0.64
"2020-02-25 15:00:00",0.88,0.62
"2020-02-25 16:00:00",1.19,1.28
"2020-02-25 17:00:00",1.16,0.66
"2020-02-25 18:00:00",0.86,0.85
"2020-02-25 19:00:00",0.83,0.93
"2020-02-25 20:00:00",1.08,0.86
"2020-02-25 21:00:00",2.75,1.6
"2020-02-25 22:00:00",1.06,0.8
